offload_percent,offload_type,run,accuracy
0.0,none,1,0.13333
0.0,none,2,0.13333
0.0,none,3,0.2333333
0.0,none,4,0.2
0.0,none,5,0.166666
5.05,random,1,0.3333333333333333
5.05,random,2,0.43333333333333335
5.05,random,3,0.3333333333333333
5.05,random,4,0.36666666666666664
5.05,random,5,0.4
10,random,1,0.4
10,random,2,0.4
10,random,3,0.43
10,random,4,0.33
10,random,5,0.333
1.352,learned,1,0.4
1.352,learned,2,0.4
1.352,learned,3,0.4
1.352,learned,4,0.4333
1.352,learned,5,0.4333
5,learned,1,0.5
5,learned,2,0.4666666
5,learned,3,0.4666666
5,learned,4,0.4666666
5,learned,3,0.4
5,learned,4,0.4333333
